id,student_id,exercise_id,difficulty,correct_count,error_count,missing_count,extra_count,accuracy_percent,created_at,letter_omission_count,letter_insertion_count,letter_substitution_count,transposition_count,split_join_count,punctuation_error_count,capitalization_error_count,error_words,resolution
011c5bfd-52e4-44a0-9a80-99f3878e1fa4,314c3d91-be93-4454-8786-74dd204cb514,19fdd00c-0804-4c61-b25d-b0202a118174,hard,0,1,11,0,0.00,2026-01-07 02:41:17.337589+00,0,0,0,0.0,0,0,0,[],
028a879f-e7dd-4dc1-b60b-802dfafe44ef,56aea145-f73d-4742-aca0-6258d9af020c,13561c14-f93c-448d-ba49-012aac1baafb,easy,4,0,1,0,80.00,2026-01-07 11:41:06.272595+00,0,0,0,0.0,0,0,0,[],
02939a5e-6ccf-4dc4-b4f3-5bf3a0f81f51,5d742b57-d297-4bb6-b9c5-ae704630fedf,911a6203-5c2f-4c03-a276-366ec08c9c06,medium,9,0,0,0,95.00,2026-01-28 13:08:06.64084+00,2,0,0,0.0,0,1,0,"[""bombeiro"",""mangueira.""]",O bombiro bravo apaga o fogo com a sua poderosa mangeira
03f02a8c-e10c-41ee-aacf-a79e22866ff9,ae85a1b2-9106-4c87-8778-e9aa88c5d889,53498836-f6c6-49fe-8f9b-92f408dcb58b,medium,6,0,0,0,100.00,2026-02-04 19:47:29.617553+00,0,0,0,0.0,0,0,0,[],O Pedro pinta uma parede branca.
081ea8b3-c810-4bb5-85d8-ad9bc269e3cb,5d742b57-d297-4bb6-b9c5-ae704630fedf,681a83ed-a2bf-4a38-82ae-9b99fc5a1dcc,medium,1,2,2,0,20.00,2026-01-07 03:30:03.950359+00,0,0,0,0.0,0,0,0,[],
09a3a446-f584-43e6-8a4e-66b5623ac0e7,5d742b57-d297-4bb6-b9c5-ae704630fedf,a1a1784e-3e55-455a-8eba-e8584f6a640d,medium,4,0,0,1,82.00,2026-01-13 00:42:40.535346+00,1,0,0,0.0,1,0,0,"[""flores""]",O jardim temdiversas plantas e fores a
09c2c0b3-aa85-4adc-b164-d0da82ecb976,314c3d91-be93-4454-8786-74dd204cb514,53498836-f6c6-49fe-8f9b-92f408dcb58b,medium,3,0,3,0,50.00,2026-01-07 03:33:47.757681+00,0,0,0,0.0,0,0,0,[],
0a80906a-bdd0-4efe-b9f7-2ca7aeb5d88b,314c3d91-be93-4454-8786-74dd204cb514,53498836-f6c6-49fe-8f9b-92f408dcb58b,medium,0,0,5,0,15.00,2026-01-23 13:47:22.547675+00,0,0,2,0.0,0,0,0,"[""uma""]",ola
0b75878b-53f0-4690-ae33-faf33199bad3,5d742b57-d297-4bb6-b9c5-ae704630fedf,53498836-f6c6-49fe-8f9b-92f408dcb58b,medium,0,1,5,0,0.00,2026-01-07 03:27:19.52618+00,0,0,0,0.0,0,0,0,[],
0c0fb10e-3698-4eb5-91dd-4c279ae66a29,5d742b57-d297-4bb6-b9c5-ae704630fedf,681a83ed-a2bf-4a38-82ae-9b99fc5a1dcc,medium,3,0,1,0,75.00,2026-01-29 09:56:42.580072+00,1,0,0,0.0,0,1,0,"[""sol.""]",A bicicleta ao so
0c6d7f61-9aad-41ff-9d8d-f413180f2c0f,ae85a1b2-9106-4c87-8778-e9aa88c5d889,53498836-f6c6-49fe-8f9b-92f408dcb58b,medium,2,0,0,0,59.00,2026-01-31 16:03:57.805694+00,0,1,3,0.0,0,1,1,"[""Pedro"",""pinta"",""uma"",""branca.""]",O predro ponta una parede bronca
0d0db5a4-d85d-4f13-8d65-3f31c9a46723,82fcff68-7301-4599-b818-2cfa383b603c,19fdd00c-0804-4c61-b25d-b0202a118174,hard,10,2,0,0,83.00,2026-01-07 09:55:23.252911+00,0,0,0,0.0,0,0,0,[],
0e34661b-4038-4f92-89dc-f319a4409fb1,f160026d-e1eb-4ae2-a966-9c2fdc33337b,13561c14-f93c-448d-ba49-012aac1baafb,easy,5,0,0,0,100.00,2026-02-20 13:12:38.836317+00,0,0,0,0.0,0,0,0,[],A bola é do Pedro.
0f7c2360-8d85-492d-af07-780501520d55,5d742b57-d297-4bb6-b9c5-ae704630fedf,53498836-f6c6-49fe-8f9b-92f408dcb58b,medium,5,1,0,0,83.00,2026-01-12 19:58:31.600168+00,0,0,0,0.0,0,0,0,[],
10225d44-5940-4e87-ad85-45b95b8125a2,5d742b57-d297-4bb6-b9c5-ae704630fedf,681a83ed-a2bf-4a38-82ae-9b99fc5a1dcc,medium,3,1,0,0,68.00,2026-01-28 13:11:26.253651+00,1,0,0,0.0,0,1,0,"[""bicicleta"",""brilha""]",A bicileta birla ao sol
119bfa39-8288-4b62-a3bc-fa5be09e2884,5d742b57-d297-4bb6-b9c5-ae704630fedf,746893ee-9fad-42be-aa33-fea395ee378c,medium,6,2,0,0,95.00,2026-01-12 23:31:46.99335+00,0,0,0,0.0,0,0,0,[],
